Question	Answer	Public
who are you?	smalltalk/agent.acquaintance	FALSE
all about you	smalltalk/agent.acquaintance	FALSE
what is your personality	smalltalk/agent.acquaintance	FALSE
define yourself	smalltalk/agent.acquaintance	FALSE
what are you	smalltalk/agent.acquaintance	FALSE
say about you	smalltalk/agent.acquaintance	FALSE
introduce yourself	smalltalk/agent.acquaintance	FALSE
describe yourself	smalltalk/agent.acquaintance	FALSE
about yourself	smalltalk/agent.acquaintance	FALSE
tell me about you	smalltalk/agent.acquaintance	FALSE
tell me about yourself	smalltalk/agent.acquaintance	FALSE
I want to know more about you	smalltalk/agent.acquaintance	FALSE
I want to know you better	smalltalk/agent.acquaintance	FALSE
talk some stuff about yourself	smalltalk/agent.acquaintance	FALSE
tell me some stuff about you	smalltalk/agent.acquaintance	FALSE
talk about yourself	smalltalk/agent.acquaintance	FALSE
why are you here	smalltalk/agent.acquaintance	FALSE
tell me about your personality	smalltalk/agent.acquaintance	FALSE
who are you	smalltalk/agent.acquaintance	FALSE
how old are you?	smalltalk/agent.age	FALSE
how old is your platform	smalltalk/agent.age	FALSE
are you 21 years old	smalltalk/agent.age	FALSE
i'd like to know your age	smalltalk/agent.age	FALSE
age of yours	smalltalk/agent.age	FALSE
your age	smalltalk/agent.age	FALSE
what's your age	smalltalk/agent.age	FALSE
tell me your age	smalltalk/agent.age	FALSE
how old are you	smalltalk/agent.age	FALSE
you're annoying	smalltalk/agent.annoying	FALSE
you are really annoying	smalltalk/agent.annoying	FALSE
you are irritating	smalltalk/agent.annoying	FALSE
you annoy me	smalltalk/agent.annoying	FALSE
how annoying you are	smalltalk/agent.annoying	FALSE
I find you annoying	smalltalk/agent.annoying	FALSE
you're incredibly annoying	smalltalk/agent.annoying	FALSE
you are annoying me so much	smalltalk/agent.annoying	FALSE
I want you to answer me	smalltalk/agent.answer_my_question	FALSE
answer	smalltalk/agent.answer_my_question	FALSE
answer my question	smalltalk/agent.answer_my_question	FALSE
answer me	smalltalk/agent.answer_my_question	FALSE
give me an answer	smalltalk/agent.answer_my_question	FALSE
answer the question	smalltalk/agent.answer_my_question	FALSE
can you answer my question	smalltalk/agent.answer_my_question	FALSE
tell me the answer	smalltalk/agent.answer_my_question	FALSE
answer it	smalltalk/agent.answer_my_question	FALSE
give me the answer	smalltalk/agent.answer_my_question	FALSE
I have a question	smalltalk/agent.answer_my_question	FALSE
I want you to answer my question	smalltalk/agent.answer_my_question	FALSE
just answer the question	smalltalk/agent.answer_my_question	FALSE
